,title,salary,jobtype,location,description
1311,Senior Product Manager - Growth,,Option for Remote Job,"Canada, or US National","
            Full-time role with remote option. He/she will collaborate with engineering, design, and marketing teams to improve business outcomes and implement product roadmap. 3+ years' product management experience in a SaaS environment required. 
        "
1312,Product Manager: Payments and Commerce,,100% Remote Job,"Palo Alto, CA, San Mateo, CA, or Work from Anywhere","
            Product manager needed for a work from home opportunity. Candidate will have three yrs' experience with online commerce. Will have an in-depth understanding in graph theory. Responsibilities include developing the product map &amp; execution of payments.
        "
1313,Senior Site Reliability Engineer,,100% Remote Job,"Richmond, VA","
            Work on consulting users, carrying out experiments, tackling complex business problems, and implementing new products. Must have a bachelor's degree and 5+ years of SRE or DevOps experience. Full-time, remote position.
        "
1314,Managed Services Consultant - Commercial Cloud,,100% Remote Job,"Boston, MA, or US National","
            Remote, full-time job. Needs five years' work related experience and experience with Cloud based products. Work with teams to manage, track and optimize custom success, understand customer needs and assist with understanding of products, create reports.
        "
1315,Consultant - MedTech Services,,Partial Remote Job,"Dublin, Ireland, Austria, Belgium, Denmark, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Ukraine, United Kingdom","
            Remote position will implement solutions for customers, participate in review/workshops, design/support validation of applications, design solutions, and provide insight/recommendations to improve technology. BA degree required and three years of exp. 
        "
1316,Customer Success Associate,,Option for Remote Job,US National,"
            Increase brand awareness &amp; retention rates, provide product information to customers, collaborate with teams to improve software, and recommend items for customer needs. Requires Python proficiency, sales experience, and ability to multi-task. Remote. 
        "
1317,Industry Product Marketing Manager,,Option for Remote Job,US National,"
            Develop content and messaging that articulates platform capabilities and solutions, partner with marketing teams to create targeted campaigns, create core messaging and build compelling content. Option for remote. 
        "
1318,Staff Machine Learning Engineer - Home Timeline,,Remote - During Pandemic Job,"San Francisco, CA, or US National","
            Remote position will work on cutting-edge problems, participate in the engineering life-cycle, design distributed systems, write production code, conduct code reviews, and apply graph analysis techniques. BS degree required and six years of experience. 
        "
1319,Staff Research Economist,,100% Remote Job,"Canada, Mexico, Brazil, or US National","
            Remote opportunity for a staff research economist, marketplace economics. Will lead research agenda, identify market trends, surface insights, track product performance, and provide education on statistical techniques. Need a Ph.D. and four years of exp.
        "
1320,Content Writer,,Option for Remote Job,"London, United Kingdom","
            Remote position will write content for blog posts, articles/in-product educational content, research topics, generate new content ideas, edit/proofread content before publication, and contribute to calendar. BA degree required and three years of exp. 
        "
1321,Staff Product Owner,,100% Remote Job,US National,"
            Product owner needed for a remote position requiring a relevant BA/BS, seven+ years' similarly focused experience, exceptional communication skills, and an understanding of Agile methods. Will manage projects, identify cases. 
        "
1322,SAS Programmer,,100% Remote Job,"Troy, MI","
            Work on SDTM/ADAM, TLFs programming supporting clinical trial execution, and regulatory submissions. Must have a bachelor's degree and technical SAS programming skills. WFH temp role for $50-$70/hour.
        "
1323,"Strategy and Analytics Lead, Marketing",,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include identifying business opportunities, clearly defining problems, providing primary analytics support for marketing, and managing cross-functional strategic projects. Bachelor's degree required.
        "
1324,"Director of Product, Search and Recommendations",,100% Remote Job,US National,"
            Full-time, remote position. Duties include leading implementation, metrics, &amp; user experience for search &amp; recommendations, leading &amp; developing a team, &amp; working with other teams &amp; internal staff to execute cross-product &amp; cross-functional initiatives. 
        "
1325,Customer Success Manager - Commercial Cloud,,Partial Remote Job,US National,"
            Full-time job, remote during pandemic. Needs five years' software consulting experience and advanced technical knowledge of commercial software. Drive customer success by providing ongoing product and process to customers, evaluate customers' investment. 
        "
1326,"Investigations Manager, Fraud, Ethics and Compliance",,Partial Remote Job,US National,"
            Remote role with travel required. Candidate will oversee the investigations team through investigation cycle, make sure investigation documents are received and reviewed, and help compile analytical <b>data</b>. Must have 5-8 years of financial analysis exp.
        "
1327,"Senior Software Engineer, Android",,Flexible Schedule Job,"Beijing, China","
            Full-time position with flexible schedule. Will work on software projects, maintain Android applications, manage priorities and adhere to deadlines. Bachelor's degree and 5+ years' related experience required.
        "
1328,Solution Consultant,,Partial Remote Job,US National,"
            Handle the translation of research insights into insights for customers and prospects via consulting, marketing and thought leadership, apply solution and discovery design skills to support the sales process. Work at home; must be willing to travel.
        "
1329,Technical Writer,,Option for Remote Job,"Cambridge, MA","
            The technical writer will have flexible hours and remote work options. Will create content for external and internal clients. Must have at least 5 years of relevant experience and a bachelor's degree. Job includes excellent benefits.
        "
1330,Brand and Events Director,,100% Remote Job,US National,"
            Seeking an events director for a full-time, telecommuting position. Create event strategies, develop brand/marketing materials, and collaborate with marketing team. Bachelor's degree and three to five yrs' exp. in the field required. 
        "
1331,"Vice President, Medical Affairs",,Partial Remote Job,US National,"
            Full-time job, some remote work. Travel. Needs a PhD and five years' work related experience.Serve a s a key leader of the organization and provide strategic guidance, and provide strategic oversight to ensure resources are focused to deliver on plans.
        "
1332,Senior Product Designer,,Option for Remote Job,US National,"
            Create user experiences, design wireframes and product specifications, implement features changes, and collaborate across teams to meet project goals. Remote option. Requires BA, portfolio review, and 5 years' design experience. 
        "
1333,Technical Curriculum Development,,100% Remote Job,"San Francisco, CA","
            Remote role will develop curriculum strategy, create training content, design hands-on courses, and support instructors. Experience defining and implementing new curricula &amp; strong analytical skills required. Experience developing technical training req.
        "
1334,Senior Consultant,,100% Remote Job,"Scottsdale, AZ","
            Telecommuting role for a senior consultant. Will analyze, design, code, debug and implement solutions, develop test plans, assist with product updates, analyze performance, and develop reports and dashboards. Need a bachelor's degree and five years' exp.
        "
1335,Segment Specialist,,Partial Remote Job,"Wiesbaden, Germany","
            Full-time position with partial remote work and travel. Will execute account plans, perform reviews, identify new opportunities and communicate key points. Bachelor's degree and related experience required. 
        "
1336,Administrative Assistant - Events,,100% Remote Job,"Canada, Mexico, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuadaor, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezeula, or US National","
            Provide administrative assistance and support to team, serve as key point of contact for oncologists, process required paperwork, coordinate webinar registrations and offer registered attendees support. Full-time remote job. 
        "
1337,People Operations Specialist,,100% Remote Job,Work from Anywhere,"
            Full-time, remote opportunity. Responsibilities include owning hiring &amp; onboarding workflows, maintaining onboarding new hire kits, deploying &amp; managing assets, and launching &amp; maintaining a performance review program. BA/BS required.
        "
1338,"Senior Product Manager, Machine Learning",,100% Remote Job,US National,"
            The sr. product manager will be leading a series of the company's customer-facing products &amp; developing the product roadmap. Requires a related bachelor's degree, fluency in core ML concepts, &amp; at least four years' product management exp. Remote position.
        "
1339,Senior Researcher,,100% Remote Job,"Toronto, ON, Canada","
            Full-time, remote job. Needs a bachelor's degree and five years' quantitative media research.Work as part of a team, deliver insights and effectiveness measurement, own client relationships and campaign measurement, facilitate requests, and lead research.
        "
1340,Senior Principal Software Engineer,,100% Remote Job,"Richmond, VA","
            Remote, full-time job. Needs a bachelor's degree and ten years' work related experience. Work with  fellow associates to understand real life challenges of customers, work in product design, product management and systems architecture, develop solutions.
        "
1341,"Senior Technical Sourcer, Executive Recruiting",,100% Remote Job,US National,"
            The sr. technical sourcer will develop sourcing &amp; recruiting strategies for sr. leadership roles, build talent pipelines, &amp; provide an excellent candidate experience. Must have at least six years' sourcing &amp; recruiting experience. Remote position.
        "
1342,"Principal Product Manager, Gamification",,100% Remote Job,"NY, TX, FL, WA, GA, CA, NC, CO","
            Full-time position. Will integrate research, manage bottlenecks, review requirements, anticipate trade-offs and provide guidance. Bachelor's degree preferred and 5+ years' related experience required. Work from home. 
        "
1343,Head of Health Equity and Disparities Research,,Option for Remote Job,US National,"
            Lead large-scale research efforts to identify and mitigate gaps in healthcare opportunity. Requires clinical credentials (PhD Nurse or related), strong research skills, and 5-10 yrs' exp. Full-time, WFH-optional role with benefits &amp; flexible hours.
        "
1344,Technical Product Marketing Manager,,Option for Remote Job,US National,"
            Craft compelling use cases and demos rooted in problems customers, partner closely with several internal departments and make it easy for Sales to demonstrate the company solutions with customers. Option for remote position based in the PST timezone. 
        "
1345,Intelligence Analyst Specialist - Program Contract Support,,Option for Remote Job,"Charlottesville, VA, Washington, DC","
            Full-time role with remote option. He/she will need extensive experience with intelligence analysis, technical collections, signals intelligence, and technical exploitation. Candidates must have DOD TS/SCI clearance within the last two years. 
        "
1346,System Administrator,,100% Remote Job,"Durham, NC, Atlanta, GA","
            Provide technical assistance and hands on-participation to maintain, troubleshoot and manage enterprise applications. Must have a bachelor's degree and 2 years of experience. Full-time, remote position.
        "
1347,Senior Software Engineer,,Option for Remote Job,"Ashburn, VA","
            Full-time position. Will draft code, develop applications, integrate software components and provide expertise. Bachelor's degree and 8+ years' related experience required. Flexible schedule. Remote option.
        "
1348,Podcast Producer,,100% Remote Job,US National,"
            Work closely with the K-8 ELA Marketing team on the programming and promotion of a podcast. Must have 1+ years copywriting and editing experience with a media or podcast background. Part-time, home-based contract.
        "
1349,Marketing Operations,,100% Remote Job,US National,"
            Remote role. Develop marketing campaigns for wellness brand, create and monitor budgets, optimize product efficiency,  partner with quality assurance teams, and provide reporting for internal &amp; external audiences. Requires project management experience.
        "
1350,Learning Content Creator,,100% Remote Job,US National,"
            The learning content creator will own the content experience for new products &amp; develop digital &amp; blended learning content &amp; experiences. Experience with developing user-facing content &amp; personalized L&amp;D curricula is desirable. Remote position.
        "
1351,Manager Software Engineering,,Option for Remote Job,"Florida Ridge, FL","
            Position with the option for remote work a manager, software engineering. Will attract, engage and retain talent, design, modify, develop and implement technology solutions, and participate in code and design reviews. Need a BA/BS and 10 years of exp.
        "
1352,User Experience Researcher,,100% Remote Job,US National,"
            Full-time position. Will collaborate with team, incorporate best practices, build relationships, share knowledge and identify insights. 3+ years' related UX research experience required. Telecommute. 
        "
1353,Enterprise Marketing Manager,,100% Remote Job,Australia,"
            Drive business growth and generate leads and a sales pipeline via several marketing channels. Previous experience building programs and campaigns to reach decision-makers. Experience working with the public sector is neededful. Contract remote position. 
        "
1354,Project Manager - Product Analytics,,Freelance Job,"San Francisco, CA","
            Contracted project manager will work with business managers to develop and automate business processes, organize multiple deployments, and perform implementation readiness reviews. Must have seven plus years of application development experience.
        "
1355,Software Development Engineer,,100% Remote Job,US National,"
            Create and deploy predictive models required for real-time predictions, use NLP, statistics and machine learning techniques, and design and evaluate innovative models needed for predictive learning. Previous programming experience is needed. Remote. 
        "
1356,Software Engineer,,100% Remote Job,US National,"
            A software engineer is needed for a work-at-home, full-time position. Will develop tools/infrastructure, implement solutions, and drive new growth opportunities. Bachelor's degree and three-plus yrs' exp. in the field required. 
        "
1357,Principal Consultant - Commercial Strategy,,Partial Remote Job,"London, United Kingdom","
            Lead opportunities for business development, identify and generate project opportunities, develop a compelling proposal to solve issues, build trusted relationships and support the creation of new campaigns. Remote position - travel is required. 
        "
1358,Principal Consultant - Commercial Strategy,,Partial Remote Job,"Barcelona, Spain","
            Full-time job, some remote work. Needs ten years' significant management and strategic consulting experience and experience implementing digital transformation.Travel. Lead development opportunities, and identify and generate new project opportunities.
        "
1359,Senior Compliance Officer,,Partial Remote Job,"Port Washington, NY","
            Seeking candidate with ten years' experience leading global compliance programs to be responsible for implementation of the compliance program, act as a strategic partner for senior leadership, and lead investigations and remediation. Partial remote job.
        "
1360,Associate Director Medical Writing Lead,,100% Remote Job,"West Chester, PA","
            Write and edit clinical regulatory documents (all document types) including responses to Health Authority Agencies for a pharma company. Must have a master's degree and 10 years of experience. Full-time, remote position.
        "
1361,Advertising and Marketing Client Management Specialist,,Partial Remote Job,US National,"
            Partial remote role. He/she will manage client projects, develop project presentations and reports, answer clients' business questions, and assist with sales. Experience developing client presentations required. Some travel. 3+ years' relevant exp. req. 
        "
1362,Distributed Systems Engineer,,100% Remote Job,US National,"
            Seeking an OSS Engineer to work directly with users and enterprise customers through our open source support channels and make major contributions to open-source projects. 2+ yrs of work experience is needed along with strong communication skills.

        "
1363,Technical Recruiter,,100% Remote Job,Canada,"
            Source and build relationships, partner with the leadership and hiring managers teams to build hiring strategies to understand talent needs and oversee high volume searches. Six-month remote contract job. 
        "
1364,Java Engineer,,Option for Remote Job,"Chalandri, Greece","
            Java engineer needed for a full-time position with flexible working hours &amp; the option of remote work. 4+ yrs' Java experience, knowledge of RDBMS/SQL and design patterns &amp; principles, and experience with source control tools &amp; build tools required.
        "
1365,Technical Consultant,,100% Remote Job,US National,"
            Consult with clients to determine business needs, identify requirements, and develop applications. Must have a bachelor's degree and five years of CA PPM implementation experience with certification. Full-time, remote position.
        "
1366,"Adjunct Faculty, Graduate Information Technology",,100% Remote Job,US National,"
            Provide a learning environment that supports student success, teaching synchronous or asynchronous seminars in IT for graduate-level learners online. Must have a doctorate degree and 1-3 years of experience in the IT field. WFH part-time.
        "
1367,"Systems, Applications and Products Hybris Consultant",,Option for Remote Job,Portugal,"
            full-time job, remote option. Needs a bachelor's degree and five years' work related experience. Needs knowledge of current web technologies as well as having experience with standard software frameworks, and have expertise in software architecture.
        "
1368,"Engineering Manager, Growth",,Option for Remote Job,US National,"
            Position with the option for remote work for an engineering manager, shared experience, growth. Will hire, lead and grow a team of engineers, help drive team's vision and strategy, and execute team's vision. Need five years of software engineering exp.
        "
1369,"Manager, Medical Writing",,100% Remote Job,"Cambridge, MA, or US National","
            Seeking a manager of medical writing for a work-from-home opportunity. Will produce content, plan/format key documents, and review documents. Bachelor's degree and four-plus yrs' exp. in medical writing req. 
        "
1370,"Senior Order Processing Specialist, Exception Management",,100% Remote Job,US National,"
            Virtual role. Respond to order inquires for education curriculum company, oversee large orders and validate purchase order documents, perform workflow audits, and maintain vendor relationships. Requires 4 years' order management experience. 
        "
1371,Learning Experience Designer,,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include identifying learning goals &amp; outcomes for online learning experiences, designing &amp; developing online learning experiences, and ensuring that solutions meet learners' needs. Bachelor's required.
        "
1372,Onboarding Specialist,,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include building office accounts, managing office status &amp; documentation, supporting customer success during onboarding &amp; launching new offices, and following up post-launch to ensure product usability.
        "
1373,Senior Product Manager,,100% Remote Job,US National,"
            Full-time position. Will analyze results, lead strategic decisions, adhere to deadlines, maintain product backlog and set objectives. 3+ years' related product management experience required. Telecommute.
        "
1374,Quality Assurance Auditor,,Option for Remote Job,"Boston, MA","
            Full-time position. Remote option. Will perform inspections, handle database audits, report findings, review deviations and maintain QA files. Bachelor's degree and 8+ years' related experience required. 
        "
1375,Design Marketing Programs Manager,,100% Remote Job,US National,"
            You will create visual elements for communication across platforms, ensure messaging/branding is consistent, and track KPIs. Requires 5+ years of visual/graphic design experience, HTML programming, &amp; familiarity with industry tools. 100% remote.
        "
1376,Retail Web Analytics Consultant,,100% Remote Job,"San Francisco, CA","
            Remote job for candidate who will play a central role in the sharing of web analytics insights to leadership and digital teams and be responsible for development, testing, deployment, and launch of reporting. Three years' web analytics reporting exp. req.
        "
1377,Senior Product Manager - Compensation and Incentives,,100% Remote Job,VA,"
            Full-time, remote candidate will plan and implement projects that inform the product roadmap, define the strategy for event trigger compensation, and create processes that can scale and be tracked. Must have 5+ years of program management experience.
        "
1378,Salesforce Developer,,Option for Remote Job,"Charlotte, NC","
            Freelance Salesforce Developer and design and administer SFDC. Tasks include creating Apex code, supporting test cases, workflow rules and more. Document enhancements and create test scripts. Must have strong Apex coding exp. Remote work allowed. 
        "
1379,Merchandise Business Analyst,,100% Remote Job,"CA, CO, GA, IL, MN, NC, NJ, NM, NY, OR, TX, WA","
            Full-time remote role will be responsible for reporting and developing business strategies. Will develop reporting capabilities and provide analysis support. Bachelor's degree and 1+ year of experience in analytical role required. 
        "
1380,Clinical Project Manager II - Senior Clinical Project Manager,,Partial Remote Job,US National,"
            Contracted, remote role with travel required. Candidate will help with the preparation for requests for proposals, oversee technical and financial aspects of the project, and develop training materials. Must have 7 years of clinical research experience.
        "
1381,Senior Full Stack Java Developer,,Option for Remote Job,"Los Angeles, CA","
            Develop web-based software in Agile environment, write and review clean code, and collaborate with teams to understand business needs of clients. Remote, full-time. Requires BA, 5 years' software development experience, and programming proficiency.
        "
1382,Senior Product Manager,,Partial Remote Job,"IL, MO, MN, TX, NM, OR, CA, AZ, NV, WA","
            Full-time, partially remote position. Duties include building a strategy &amp; roadmap for AI solutions, gathering &amp; prioritizing customer requirements, defining vision, and developing strong &amp; constructive business relationships. Some travel required.
        "
1383,"Senior Backend Software Engineer, Predictive Technology",,100% Remote Job,"Houston, TX","
            Full-time position. Will scale-out features, conduct research, meet customer needs and provide industry-specific expertise. Bachelor's degree and 5+ years' related engineering experience required. Telecommute.
        "
1384,Senior Medical Writer,,100% Remote Job,US National,"
            Full-time, remote candidate will conduct peer reviews and quality control of clinical study reports, review statistical analysis plans, and propose solutions to identified issues. Must have five years of pharmaceutical or medical writing experience.
        "
1385,Project Manager,,Partial Remote Job,"Carlsbad, CA","
            Partial remote. Oversee technical projects for molecular &amp; genetic research teams, improve processes and understand client requirements, provide staff coaching, and understand resource allocation. Requires BA and 3+ years' project management experience.
        "
1386,Senior Product Designer,,100% Remote Job,US National,"
            Remote position will collaborate on learning sequences, build design systems, solve tough interaction/system design problems, help research/articulate learning segments, and contribute to overall product strategy. Need four years of experience. 
        "
1387,Informatics Project Manager,,100% Remote Job,"San Francisco, CA","
            Remote job for candidate who will be part of a larger team collaborating closely with operations teams to define technology and features to meet evolving business needs and manage solutions implementation. BA/BS degree and project management exp. req.
        "
1388,Software Engineer - Platform,,Option for Remote Job,"Canada, or US National","
            Full-time position with the option of remote work. Duties include working as part of a distributed team, creating backend services in a cloud, and building &amp; running reliable, secure, &amp; performant distributed services. 3+ yrs' experience required.
        "
1389,Digital Marketing Manager,,100% Remote Job,US National,"
            The manager will drive lead acquisition growth, manage paid digital campaigns, &amp; oversee the corporate website &amp; tech stack. Must have at least two years' digital marketing exp. at SaaS B2B companies. BA/BS degree or equivalent exp. desired. WFH role.
        "
1390,"Health Informatics - Online Adjunct, Graduate Level",,100% Remote Job,"Philadelphia, PA","
            An online adjunct faculty member is needed to teach university students a course in Health Informatics. Previous adult teaching experience is needed. Part-time, remote temporary position lasting eight weeks. Pay is $2,500 per course. 
        "
1391,Senior Financial Analyst,,100% Remote Job,US National,"
            Remote position will develop new financial models to support new product design, run/maintain complex revenue calculation models, monitor policy revenue/profitability trends, and review contracts/rates. BA degree required and five years of experience. 
        "
1392,Marketing Analytics Specialist,,100% Remote Job,"FL, PA, NC, NY, MA","
            Ideate and create processes that fulfill business needs across software packages. Must have a bachelor's degree and experience with Tableau, Google Analytics, Salesforce, and eCommerce platforms. Full-time, remote position.
        "
1393,"Engineering Manager, Payroll",,Option for Remote Job,US National,"
            Lead the team working on a comprehensive customer communications platform, information architecture strategy, customer dashboards, and more. Must have 3+ years of software engineering management experience. Full-time, remote position.
        "
1394,"Vice President, Engineering",,Remote - During Pandemic Job,"Chicago, IL","
            Oversee software engineering teams, provide mentoring and training, build self-service tools and maintain technical architecture, and manage complex project timelines &amp; budgets. Remote in pandemic Requires BA and 10+ years' tech infrastructure experience.
        "
1395,Director of Media,,Remote - During Pandemic Job,"Chicago, IL, or US National","
            The director will provide team leadership, set the growth strategy for media analytics offerings, &amp; cultivate partnerships. Due to COVID-19, staff members are telecommuting for now. This role requires a strong marketing &amp; digital analytics background.
        "
1396,"Human Resources Business Partner, Digital Services",,100% Remote Job,"Chicago, IL, or US National","
            Develop HR strategy, solutions, and strategic workforce plans that align to the business and site strategy and objectives. Must have a bachelor's degree and 7 years of experience. Full-time, remote position.
        "
1397,UX Researcher,,100% Remote Job,US National,"
            Remote position for a user experience researcher. Will facilitate discovery, articulation, and application of recommendations across the product platform, conduct research, and inform and guide design processes. Need a BA/BS and three years of experience.
        "
1398,Full Stack Engineer,,100% Remote Job,US National,"
            Full-time, remote full-stack engineer will develop new features and add functionality to existing features,  work with internal stakeholders to develop functionality, and maintain platform stability. Must have three plus years of React.js experience.
        "
1399,Business Development Director,,100% Remote Job,"Wilmington, NC","
            Full-time, remote job. Needs a bachelor's degree and seven years' work related experience. Prospect and leverage new business opportunities, cultivate strong long-term relationships, maintain general knowledge of services, identify and respond to needs.
        "
1400,"Business Development, Director",,100% Remote Job,US National,"
            Business Development Director is needed for a remote opportunity. The candidate is responsible for driving the entire sales cycle from qualification and discovery through close. At least 4 years of relevant experience is required.
        "
1401,Senior Consultant - Commercial Strategy,,Partial Remote Job,"Paris, France","
            Partial remote job with travel for candidate who will lead complex projects as the operational face of the business consulting team and be responsible for the end-to-end design and build of deliverables. BA/BS degree and 8 years' consulting exp. req.
        "
1402,Senior Consultant - Commercial Strategy,,Partial Remote Job,"London, United Kingdom","
            Partial remote job with travel for candidate who will lead projects as the face of the company business consulting team and identify and proactively solve problems faced by the client. Bachelor's degree and eight years' consulting experience required.
        "
1403,Senior Consultant - Commercial Strategy,,Partial Remote Job,"Milan, Italy","
            Seeking candidate with BA/BS degree and 8 years' consulting exp. to lead complex projects as the operational face of the company business consulting team and be responsible for the end-to-end design and build of deliverables. Partial WFH job with travel.
        "
1404,Senior Consultant - Commercial Strategy,,Partial Remote Job,"Barcelona, Spain","
            Will lead projects, solve client issues, mentor consultants, and oversee deliverables. Bachelor's degree and eight-plus yrs' consulting experience required. Competitive salary and benefits. Full-time, partially remote position.  
        "
1405,"Software Engineer, Frontend",,Option for Remote Job,US National,"
            Software Engineer Frontend needed for a remote position will build software, and collaborate on delivering features/fixed in an enterprise environment. Need five years of professional work experience as a software engineer. 
        "
1406,Artificial Intelligence Researcher,,Option for Remote Job,US National,"
            Create state-of-the-art ML/AI solutions for various datasets, develop and apply breakthroughs in ML/AI technical areas and support rapid development and benefit national security. Option for remote - occasional travel is required.
        "
1407,Director of Engineering - Search and Personalization,,Option for Remote Job,US National,"
            Ful-time position. Will prioritize work, provide guidance, collaborate with staff, meet goals, improve systems and assist with onboarding. Bachelor's degree and 12+ years' related experience required. Work from home option. 
        "
1408,Design Researcher,,100% Remote Job,US National,"
            Full-time, remote candidate will lead research efforts, translate customer needs into business requirements, and provide design thought leadership to senior business stakeholders. Must have three to seven years of work experience and a bachelor's degree.
        "
1409,Staff Software Engineer,,Remote - During Pandemic Job,"Sunnyvale, CA","
            Seeking candidate with BA/BS degree and six years' software engineering exp. to lead and direct complex projects and direct root cause analysis of business and production issues by reviewing information and directing actions. Remote job during pandemic.
        "
1410,Digital Project Manager,,Option for Remote Job,"New York, NY","
            Remote position will be responsible for managing complex clinical study projects, manage all aspects of clinical trial projects, lead regular client project meetings, and support mentorship/training. BS degree required and experience with clinical trials.
        "
1411,Digital Project Manager,,Option for Remote Job,"Raleigh, NC","
            Digital project manager needed for a full-time opportunity. This position offers option for remote work. Will manage clinical trial study projects. Strong project management skills and bachelor's degree or higher in a related field required.
        "
1412,Digital Project Manager,,Option for Remote Job,"Philadelphia, PA","
            Digital project manager needed for a full-time opportunity. This position offers option for remote work. Will be managing clinical trial study projects. Experience, leadership skills, and bachelor's degree or higher in a related field required.
        "
1413,"Senior Application Engineer, Digital Customer Service Center",,Partial Remote Job,US National,"
            Full-time, partially remote position. Bachelor's required. Duties include leading the creation of cloud-based service solutions, leading &amp; participating in design reviews, developing design concepts or models, and developing software for applications.
        "
1414,Senior Technical Program Manager,,Option for Remote Job,"Alpharetta, GA, or US National","
            Option for telecommuting. Candidate will oversee two large-scale programs associated with critical business initiatives, create and consolidate the program timeline, and help improve processes. Must have 10+ years of program management experience.
        "
1415,Quality Assurance Tester,,100% Remote Job,"Boston, MA","
            Full-time position. Will perform hands-on testing, assist with end-to-end transformation and provide industry-specific expertise. 5+ years' related Informatica technologies experience required. Remote. 
        "
1416,Clinical Trial Manager,,100% Remote Job,US National,"
            Matrix and lead the clinical trial team and be accountable for planning, conducting and reporting on clinical trails within the CDMA, ensure quality, write protocols and define clinical outsourcing specifications. Remote job.
        "
1417,Director of Security,,100% Remote Job,US National,"
            Develop and own the vision, strategy, and execution of the company's private, public, and hybrid-cloud security. Must have a bachelor's degree and extensive experience in the fields of enterprise security. Full-time, remote position.
        "
1418,Senior Content Designer,,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include writing UX copy, experimenting with copy, defining UX/UI messaging standards &amp; guidelines, and contributing to relevant stages of the product design process. 5+ years of related experience required.
        "
1419,Adjunct Faculty in Computer Information Systems,,Temporary Job,"Fresno, CA","
            Seeking an adjunct faculty member to instruct students in Computer Information Systems and serve students with earning a Bachelor's degree and join the workforce for services in the field of computing. A PhD and prior teaching exp. needed. Temporary.
        "
1420,Curriculum Developer,,100% Remote Job,"Barcelona, Spain","
            Remote position will shape instructor-led/e-learning modules for role-based users, given course objectives, product use cases, technical resources, reverse engineer internal content, and update training materials. BA degree required and two years of exp. 
        "
1421,Curriculum Developer,,Partial Remote Job,"Oxford, United Kingdom","
            Create product training courses for customers/employees to use the company's products. Option to work remotely. Must have a bachelor's degree, 2-5 years' experience designing/developing software courses, and strong analytical skills.
        "
1422,Senior Order Processing Specialist - Triage,,100% Remote Job,US National,"
            Full-time position. Remote. Will analyze processes, develop workflows, implement key SOP's, build relationships, perform audits and document occurrences. Bachelor's degree and 4+ years' related experience required. 
        "
1423,"Principal Machine Learning Advisor, Startups and Venture Capital",,Option for Remote Job,US National,"
            Full-time role with remote option. He/she will develop relationships with key influencers, identify technical and commercial challenges, and produce AI/ML thought leadership content, workshops, and events. Master's degree and 5+ years' experience req. 
        "
1424,Regional Digital Marketing Specialist,,100% Remote Job,"Carlsbad, CA, South San Francisco, CA, Boston, MA, Waltham, MA, Asheville, NC, Pittsburgh, PA, Austin, TX, Houston, TX","
            Remote regional digital marketing specialist needed to oversee the implementation and strategic support of integrated digital marketing programs. Bachelor's degree, 4+ years in digital marketing, &amp; experience implementing paid social advertising required.
        "
1425,Salesforce Efficiency Specialist,,Partial Remote Job,United Kingdom,"
            Full-time partial remote role will coordinate product trainings, conduct needs assessments, develop roadmap, and manage metrics. Extensive travel required. Bachelor's degree and commercial experience required. Project leadership experience required. 
        "
1426,Head of Content Marketing,,Remote - During Pandemic Job,"New York, NY","
            Help position the company as the market leader and industry expert for all things fraud and identity verification related. Must have 5+ years of relevant work experience in a B2B SaaS environment. Full-time, remote position.
        "
1427,Product Manager II,,100% Remote Job,"Chicago, IL, Houston, TX, Washington, DC","
            Virtual position. Oversee product strategy and conduct design research, utilize feedback to improve products, collaborate across teams to resolve issues, and support product adoption efforts. Requires 3 years' product management experience.
        "
1428,Senior Software Engineer,,100% Remote Job,US National,"
            Freelance, remote opportunity. Responsible for providing &amp; supporting the implementation of business solutions and utilizing industry research to improve the the company's technology department. Bachelor's degree &amp; 4 years of experience are required.
        "
1429,Senior Technical Recruiter,,100% Remote Job,US National,"
            The sr. technical recruiter will develop sourcing &amp; engagement strategies, manage recruiting processes for tech job openings, &amp; provide an excellent candidate experience. Five or more years' technical recruiting experience needed. Remote job opportunity.
        "
1430,"Growth Marketing Manager, Lifecycle",,Partial Remote Job,US National,"
            Partial remote position will build email/notification programs that support lifecycle marketing strategy, drive experimentation agenda/roadmap for consumer growth marketing efforts, and identify key drivers. Need six years of experience. 
        "
1431,Full-Stack Engineer,,Remote - During Pandemic Job,US National,"
            Own solutions capabilities and iterate and architect and deploy reusable systems. Travel for in-person meetings 4 - 6  times a year is expected. A BS degree is required. Remote work allowed during COVID-19. 
        "
1432,Senior Technical Recruiter,,100% Remote Job,"Denver, CO","
            Build the team responsible for writing infrastructure and software to scale treatment to over 100 million individuals, generate a pipeline and provide advice and coaching to hiring managers. 5+ years of recruiting experience is required. Telecommute. 
        "
1433,Analytics Manager,,Option for Remote Job,"New York, NY","
            F/T remote analytics manager needed to provide analytics-based strategic insights and directions to aid in the development of media and communications initiatives. Quantitative educational background and 3-5 years experience performing analytics req.
        "
